file,num_tasks,utilization,hyperperiod,dm_schedulable,dm_message,edf_feasible,edf_message,dm_sim_misses,edf_sim_misses,dm_preemptions,edf_preemptions,policy_classification,category,dm_matches_wcet_sim,edf_matches_wcet_sim
Full_Utilization_NonUnique_Periods_taskset.csv,12,0.9999999999999999,600,True,All tasks schedulable under DM,True,Feasible: U=1.0 and all D_i = T_i,0,0,38,37,schedulable_both,schedulable,True,True
Full_Utilization_Unique_Periods_LargeHP_taskset.csv,20,1.0000000000000002,7200,True,All tasks schedulable under DM,True,Feasible: U=1.0 and all D_i = T_i,0,0,559,559,schedulable_both,schedulable,True,True
Full_Utilization_Unique_Periods_taskset.csv,3,1.0,100,True,All tasks schedulable under DM,True,Feasible: U=1.0 and all D_i = T_i,0,0,4,4,schedulable_both,schedulable,True,True
High_Utilization_NonUnique_Periods_taskset.csv,12,0.7999999999999999,600,True,All tasks schedulable under DM,True,"Feasible by DBF test (U=0.800000, tested up to t_max=300)",0,0,25,25,schedulable_both,schedulable,True,True
High_Utilization_Unique_Periods_LargeHP_taskset.csv,30,0.8000000000000002,1166400,True,All tasks schedulable under DM,True,"Feasible by DBF test (U=0.800000, tested up to t_max=72900)",0,0,3004,3004,schedulable_both,schedulable,True,True
High_Utilization_Unique_Periods_taskset.csv,3,0.8,300,True,All tasks schedulable under DM,True,"Feasible by DBF test (U=0.800000, tested up to t_max=300)",0,0,18,18,schedulable_both,schedulable,True,True
Low_Utilization_NonUnique_Periods_taskset.csv,10,0.2,600,True,All tasks schedulable under DM,True,"Feasible by DBF test (U=0.200000, tested up to t_max=200)",0,0,0,0,schedulable_both,schedulable,True,True
Low_Utilization_Unique_Periods_LargeHP_taskset.csv,15,0.19999999999999996,64800,True,All tasks schedulable under DM,True,"Feasible by DBF test (U=0.200000, tested up to t_max=16200)",0,0,128,128,schedulable_both,schedulable,True,True
Low_Utilization_Unique_Periods_taskset.csv,3,0.2,60,True,All tasks schedulable under DM,True,"Feasible by DBF test (U=0.200000, tested up to t_max=60)",0,0,0,0,schedulable_both,schedulable,True,True
Medium_Utilization_NonUnique_Periods_taskset.csv,12,0.5,600,True,All tasks schedulable under DM,True,"Feasible by DBF test (U=0.500000, tested up to t_max=300)",0,0,4,4,schedulable_both,schedulable,True,True
Medium_Utilization_Unique_Periods_LargeHP_taskset.csv,40,0.5,13996800,True,All tasks schedulable under DM,True,"Feasible by DBF test (U=0.500000, tested up to t_max=3499200)",0,0,999,999,schedulable_both,schedulable,True,True
Medium_Utilization_Unique_Periods_taskset.csv,5,0.5,600,True,All tasks schedulable under DM,True,"Feasible by DBF test (U=0.500000, tested up to t_max=200)",0,0,8,8,schedulable_both,schedulable,True,True
Unschedulable_Full_Utilization_NonUnique_Periods_taskset.csv,10,1.0027835051546392,9700,False,Task Task_8 misses deadline: R=109 > D=100,False,Infeasible: U=1.002784 > 1,97,726,953,860,unschedulable_both,unschedulable,True,True
Unschedulable_Full_Utilization_Unique_Periods_taskset.csv,10,1.0,3600,False,Task Task_6 misses deadline: R=905 > D=900,True,Feasible: U=1.0 and all D_i = T_i,3,0,323,317,dm_only_unschedulable,unschedulable,True,True
Unschedulable_High_Utilization_NonUnique_Periods_taskset.csv,10,0.8474106364428945,57350,False,Task Task_8 misses deadline: R=38 > D=37,True,"Feasible by DBF test (U=0.847411, tested up to t_max=37)",8,0,4748,3916,dm_only_unschedulable,unschedulable,True,True
Unschedulable_High_Utilization_Unique_Periods_taskset.csv,10,0.8709077301916855,12426600,False,Task Task_9 misses deadline: R=156 > D=149,True,"Feasible by DBF test (U=0.870908, tested up to t_max=149)",1,0,7686,7552,dm_only_unschedulable,unschedulable,True,True
