Name,BCET,WCET,Period,Deadline,Priority,Ri_DM,Ri_EDF,Ri_DM_sim,Ri_EDF_sim,Ri_DM_obs_max,Ri_EDF_obs_max,Ri_DM_obs_mean,Ri_EDF_obs_mean,Ri_DM_obs_p95,Ri_EDF_obs_p95,DM_obs_within_ana,EDF_obs_within_ana,DM_preemptions,EDF_preemptions
Task_0,6,13,100,100,6,34,34,34,34,30,30,22.133333333333333,22.133333333333333,28.049999999999997,28.049999999999997,True,True,12,12
Task_1,6,22,200,200,8,87,90,87,90,65,65,46.8,46.8,64.55,64.55,True,True,9,8
Task_2,1,2,25,25,1,3,3,3,3,3,3,1.625,1.625,2.049999999999983,2.049999999999983,True,True,0,0
Task_3,2,6,50,50,2,9,9,9,9,9,9,5.966666666666667,5.966666666666667,8.0,8.0,True,True,0,0
Task_4,0,1,20,20,0,1,1,1,1,1,1,0.5,0.5,1.0,1.0,True,True,0,0
Task_5,1,3,60,60,5,18,18,18,18,18,18,4.72,4.72,14.0,14.0,True,True,0,0
Task_6,14,33,300,300,9,185,185,185,185,90,90,73.3,73.3,89.05,89.05,True,True,7,7
Task_7,1,2,50,50,2,11,11,11,11,11,11,7.458333333333333,7.458333333333333,10.0,10.0,True,True,0,0
Task_8,2,9,100,100,6,44,44,44,44,38,38,29.216666666666665,29.216666666666665,35.0,35.0,True,True,4,4
Task_9,5,21,300,300,9,290,250,290,250,142,142,91.2,91.2,134.4,134.4,True,True,3,3
Task_10,9,42,600,600,11,600,596,600,596,184,184,144.1,144.1,176.79999999999998,176.79999999999998,True,True,3,3
Task_11,1,4,50,50,2,15,50,15,50,15,15,9.85,9.85,13.0,13.0,True,True,0,0
