task_id,task_name,policy,response_time
0,tau_1,DM,3.0
0,tau_1,DM,3.0
0,tau_1,DM,3.0
0,tau_1,DM,3.0
0,tau_1,DM,3.0
0,tau_1,DM,6.0
0,tau_1,DM,6.0
0,tau_1,DM,6.0
0,tau_1,DM,6.0
0,tau_1,DM,3.0
0,tau_1,DM,4.0
0,tau_1,DM,3.0
0,tau_1,DM,5.0
0,tau_1,DM,5.0
0,tau_1,DM,3.0
0,tau_1,DM,6.0
0,tau_1,DM,3.0
0,tau_1,DM,4.0
0,tau_1,DM,3.0
0,tau_1,DM,3.0
0,tau_1,DM,5.0
0,tau_1,DM,5.0
0,tau_1,DM,6.0
0,tau_1,DM,3.0
0,tau_1,DM,5.0
0,tau_1,DM,4.0
0,tau_1,DM,6.0
0,tau_1,DM,4.0
0,tau_1,DM,3.0
0,tau_1,DM,3.0
0,tau_1,DM,3.0
0,tau_1,DM,4.0
0,tau_1,DM,6.0
0,tau_1,DM,3.0
0,tau_1,DM,5.0
0,tau_1,DM,3.0
0,tau_1,DM,4.0
0,tau_1,DM,6.0
0,tau_1,DM,6.0
0,tau_1,DM,5.0
0,tau_1,DM,5.0
0,tau_1,DM,3.0
0,tau_1,DM,4.0
0,tau_1,DM,6.0
0,tau_1,DM,4.0
0,tau_1,DM,6.0
0,tau_1,DM,3.0
0,tau_1,DM,4.0
0,tau_1,DM,4.0
0,tau_1,DM,6.0
0,tau_1,DM,4.0
0,tau_1,DM,5.0
0,tau_1,DM,3.0
0,tau_1,DM,5.0
0,tau_1,DM,3.0
0,tau_1,DM,6.0
0,tau_1,DM,3.0
0,tau_1,DM,4.0
0,tau_1,DM,3.0
0,tau_1,DM,3.0
0,tau_1,DM,3.0
0,tau_1,DM,5.0
0,tau_1,DM,6.0
0,tau_1,DM,6.0
0,tau_1,DM,4.0
0,tau_1,DM,6.0
0,tau_1,DM,5.0
0,tau_1,DM,5.0
0,tau_1,DM,4.0
0,tau_1,DM,3.0
0,tau_1,DM,3.0
