utilization,task_id,task_name,policy,arj
0.7,0,tau_1,DM,0.0
0.7,0,tau_1,EDF,12.0
0.7,1,tau_2,DM,4.0
0.7,1,tau_2,EDF,13.0
0.7,2,tau_3,DM,4.0
0.7,2,tau_3,EDF,11.0
0.7,3,tau_4,DM,11.0
0.7,3,tau_4,EDF,11.0
0.7,4,tau_5,DM,9.0
0.7,4,tau_5,EDF,9.0
0.7,5,tau_6,DM,19.0
0.7,5,tau_6,EDF,14.0
0.8,0,tau_1,DM,0.0
0.8,0,tau_1,EDF,8.0
0.8,1,tau_2,DM,0.0
0.8,1,tau_2,EDF,10.0
0.8,2,tau_3,DM,14.0
0.8,2,tau_3,EDF,14.0
0.8,3,tau_4,DM,2.0
0.8,3,tau_4,EDF,21.0
0.8,4,tau_5,DM,26.0
0.8,4,tau_5,EDF,24.0
0.8,5,tau_6,DM,55.0
0.8,5,tau_6,EDF,35.0
0.9,0,tau_1,DM,0.0
0.9,0,tau_1,EDF,70.0
0.9,1,tau_2,DM,2.0
0.9,1,tau_2,EDF,71.0
0.9,2,tau_3,DM,10.0
0.9,2,tau_3,EDF,88.0
0.9,3,tau_4,DM,23.0
0.9,3,tau_4,EDF,84.0
0.9,4,tau_5,DM,32.0
0.9,4,tau_5,EDF,66.0
0.9,5,tau_6,DM,156.0
0.9,5,tau_6,EDF,77.0
