sample,priority_rank,task_id,deadline,dm_misses,edf_misses,dm_miss_fraction,edf_miss_fraction
0,0,0,11,0,3,0.0,0.3
0,1,3,81,0,3,0.0,0.3
0,2,1,105,0,1,0.0,0.1
0,3,2,139,37,3,1.0,0.3
0,4,4,567,0,0,0.0,0.0
1,0,2,9,0,59,0.0,0.5412844036697247
1,1,1,12,0,18,0.0,0.1651376146788991
1,2,4,39,0,16,0.0,0.14678899082568808
1,3,3,534,17,15,0.9444444444444444,0.13761467889908258
1,4,0,657,1,1,0.05555555555555555,0.009174311926605505
2,0,2,20,0,0,0.0,0.0
2,1,0,30,0,0,0.0,0.0
2,2,1,101,0,0,0.0,0.0
2,3,4,212,0,0,0.0,0.0
2,4,3,265,0,0,0.0,0.0
3,0,1,9,0,0,0.0,0.0
3,1,4,29,0,0,0.0,0.0
3,2,2,56,0,0,0.0,0.0
3,3,0,73,0,0,0.0,0.0
3,4,3,151,10,0,1.0,0.0
4,0,2,6,0,1379,0.0,0.4543657331136738
4,1,0,33,0,507,0.0,0.16705107084019769
4,2,1,67,500,666,0.7112375533428165,0.21943986820428335
4,3,4,109,141,421,0.20056899004267426,0.13871499176276772
4,4,3,815,62,62,0.08819345661450925,0.02042833607907743
5,0,1,18,0,0,0.0,0.0
5,1,4,192,0,0,0.0,0.0
5,2,0,523,0,0,0.0,0.0
5,3,3,603,0,0,0.0,0.0
5,4,2,686,0,0,0.0,0.0
6,0,4,15,0,13,0.0,0.3611111111111111
6,1,2,17,301,23,1.0,0.6388888888888888
6,2,3,58,0,0,0.0,0.0
6,3,1,113,0,0,0.0,0.0
6,4,0,849,0,0,0.0,0.0
7,0,2,13,0,0,0.0,0.0
7,1,3,17,0,0,0.0,0.0
7,2,0,22,278,0,0.9893238434163701,0.0
7,3,4,53,3,0,0.010676156583629894,0.0
7,4,1,972,0,0,0.0,0.0
8,0,1,43,0,0,0.0,0.0
8,1,2,52,0,0,0.0,0.0
8,2,3,59,0,0,0.0,0.0
8,3,4,459,0,0,0.0,0.0
8,4,0,643,0,0,0.0,0.0
9,0,4,34,0,0,0.0,0.0
9,1,3,52,0,0,0.0,0.0
9,2,0,75,0,0,0.0,0.0
9,3,2,121,0,0,0.0,0.0
9,4,1,752,0,0,0.0,0.0
