Name,BCET,WCET,Period,Deadline,Priority,Ri_DM,Ri_EDF,Ri_DM_sim,Ri_EDF_sim,Ri_DM_obs_max,Ri_EDF_obs_max,Ri_DM_obs_mean,Ri_EDF_obs_mean,Ri_DM_obs_p95,Ri_EDF_obs_p95,DM_obs_within_ana,EDF_obs_within_ana,DM_preemptions,EDF_preemptions
Task_0,6,13,100,100,6,34,34,34,34,28,28,20.95,20.95,27.049999999999997,27.049999999999997,True,True,12,12
Task_1,6,22,200,200,8,87,90,87,90,50,50,42.06666666666667,42.06666666666667,49.0,49.0,True,True,9,8
Task_2,1,2,25,25,1,3,3,3,3,3,3,1.6291666666666667,1.6291666666666667,2.0,2.0,True,True,0,0
Task_3,2,6,50,50,2,9,9,9,9,8,8,5.716666666666667,5.716666666666667,8.0,8.0,True,True,0,0
Task_4,0,1,20,20,0,1,1,1,1,1,1,0.48,0.48,1.0,1.0,True,True,0,0
Task_5,1,3,60,60,5,18,18,18,18,15,15,4.53,4.53,13.0,13.0,True,True,0,0
Task_6,14,33,300,300,9,185,185,185,185,86,86,67.9,67.9,86.0,86.0,True,True,7,7
Task_7,1,2,50,50,2,11,11,11,11,10,10,7.358333333333333,7.358333333333333,9.0,9.0,True,True,0,0
Task_8,2,9,100,100,6,44,44,44,44,34,34,27.683333333333334,27.683333333333334,33.0,33.0,True,True,4,4
Task_9,5,21,300,300,9,290,250,290,250,95,95,83.8,83.8,94.05,94.05,True,True,3,3
Task_10,9,42,600,600,11,600,596,600,596,173,173,152.8,152.8,172.55,172.55,True,True,3,3
Task_11,1,4,50,50,2,15,50,15,50,14,14,10.016666666666667,10.016666666666667,13.0,13.0,True,True,0,0
