sample,priority_rank,task_id,deadline,dm_misses,edf_misses,dm_miss_fraction,edf_miss_fraction
0,0,3,7,0,0,0.0,0.0
0,1,4,11,0,0,0.0,0.0
0,2,0,36,0,0,0.0,0.0
0,3,1,70,0,0,0.0,0.0
0,4,2,180,0,0,0.0,0.0
0,5,5,190,0,0,0.0,0.0
1,0,2,13,0,1148,0.0,0.20218386755899964
1,1,4,14,0,1584,0.0,0.27897146882705176
1,2,3,25,0,1327,0.0,0.23370905248326876
1,3,1,35,0,867,0.0,0.15269461077844312
1,4,0,49,0,689,0.0,0.12134554420570623
1,5,5,723,69,63,1.0,0.011095456146530468
2,0,3,8,0,4,0.0,0.5
2,1,0,22,0,2,0.0,0.25
2,2,2,36,0,0,0.0,0.0
2,3,4,197,0,0,0.0,0.0
2,4,1,235,0,1,0.0,0.125
2,5,5,255,23,1,1.0,0.125
3,0,0,6,0,4068,0.0,0.5232827373295601
3,1,5,16,0,3060,0.0,0.3936197581682532
3,2,4,42,0,308,0.0,0.03961924363262156
3,3,2,52,226,226,0.6786786786786787,0.02907126318497556
3,4,1,868,52,57,0.15615615615615616,0.007332132750192951
3,5,3,914,55,55,0.16516516516516516,0.007074864934396707
4,0,0,37,0,0,0.0,0.0
4,1,1,43,0,0,0.0,0.0
4,2,3,63,0,0,0.0,0.0
4,3,4,656,0,0,0.0,0.0
4,4,2,663,0,0,0.0,0.0
4,5,5,946,0,0,0.0,0.0
5,0,0,21,0,0,0.0,0.0
5,1,1,29,0,0,0.0,0.0
5,2,4,48,0,0,0.0,0.0
5,3,5,82,0,0,0.0,0.0
5,4,3,166,0,0,0.0,0.0
5,5,2,313,0,0,0.0,0.0
6,0,1,4,0,0,0.0,0.0
6,1,3,16,0,0,0.0,0.0
6,2,5,94,0,0,0.0,0.0
6,3,4,151,0,0,0.0,0.0
6,4,2,169,0,0,0.0,0.0
6,5,0,769,0,0,0.0,0.0
7,0,3,6,0,0,0.0,0.0
7,1,4,7,0,0,0.0,0.0
7,2,5,13,0,0,0.0,0.0
7,3,0,15,0,0,0.0,0.0
7,4,1,76,0,0,0.0,0.0
7,5,2,371,0,0,0.0,0.0
8,0,2,25,0,0,0.0,0.0
8,1,1,46,0,0,0.0,0.0
8,2,0,56,0,0,0.0,0.0
8,3,4,382,0,0,0.0,0.0
8,4,5,744,0,0,0.0,0.0
8,5,3,871,0,0,0.0,0.0
9,0,2,26,0,0,0.0,0.0
9,1,3,31,0,0,0.0,0.0
9,2,1,41,0,0,0.0,0.0
9,3,4,153,0,0,0.0,0.0
9,4,0,196,0,0,0.0,0.0
9,5,5,580,0,0,0.0,0.0
10,0,2,12,0,0,0.0,0.0
10,1,1,14,0,0,0.0,0.0
10,2,0,26,0,0,0.0,0.0
10,3,3,52,0,0,0.0,0.0
10,4,4,78,0,0,0.0,0.0
10,5,5,83,0,0,0.0,0.0
11,0,0,15,0,268,0.0,0.475177304964539
11,1,3,49,0,102,0.0,0.18085106382978725
11,2,5,69,0,65,0.0,0.11524822695035461
11,3,1,159,117,117,0.8297872340425532,0.2074468085106383
11,4,2,201,24,12,0.1702127659574468,0.02127659574468085
11,5,4,364,0,0,0.0,0.0
12,0,3,12,0,380,0.0,0.2503293807641634
12,1,1,15,0,379,0.0,0.24967061923583664
12,2,4,18,0,277,0.0,0.18247694334650857
12,3,2,20,0,198,0.0,0.13043478260869565
12,4,0,45,0,88,0.0,0.057971014492753624
12,5,5,57,337,196,1.0,0.12911725955204217
13,0,1,15,0,0,0.0,0.0
13,1,2,37,0,0,0.0,0.0
13,2,3,39,0,0,0.0,0.0
13,3,0,99,0,0,0.0,0.0
13,4,5,117,0,0,0.0,0.0
13,5,4,652,0,0,0.0,0.0
14,0,1,5,0,0,0.0,0.0
14,1,4,9,0,0,0.0,0.0
14,2,2,166,0,0,0.0,0.0
14,3,5,183,0,0,0.0,0.0
14,4,3,295,0,0,0.0,0.0
14,5,0,945,0,0,0.0,0.0
15,0,1,6,0,4,0.0,0.09302325581395349
15,1,5,7,77,39,1.0,0.9069767441860465
15,2,0,34,0,0,0.0,0.0
15,3,2,129,0,0,0.0,0.0
15,4,4,221,0,0,0.0,0.0
15,5,3,245,0,0,0.0,0.0
16,0,2,6,0,0,0.0,0.0
16,1,3,123,0,0,0.0,0.0
16,2,0,148,0,0,0.0,0.0
16,3,1,152,0,0,0.0,0.0
16,4,4,216,0,0,0.0,0.0
16,5,5,856,0,0,0.0,0.0
17,0,5,6,0,25,0.0,0.5434782608695652
17,1,1,48,1,2,0.02857142857142857,0.043478260869565216
17,2,4,88,0,2,0.0,0.043478260869565216
17,3,0,114,0,0,0.0,0.0
17,4,3,175,34,17,0.9714285714285714,0.3695652173913043
17,5,2,598,0,0,0.0,0.0
18,0,3,2,0,263,0.0,0.6004566210045662
18,1,1,44,0,67,0.0,0.15296803652968036
18,2,0,101,0,16,0.0,0.0365296803652968
18,3,5,188,11,39,0.060109289617486336,0.08904109589041095
18,4,4,200,124,52,0.6775956284153005,0.1187214611872146
18,5,2,291,48,1,0.26229508196721313,0.00228310502283105
19,0,1,20,0,0,0.0,0.0
19,1,0,38,0,0,0.0,0.0
19,2,4,137,0,0,0.0,0.0
19,3,2,238,0,0,0.0,0.0
19,4,5,570,0,0,0.0,0.0
19,5,3,950,0,0,0.0,0.0
20,0,1,17,0,0,0.0,0.0
20,1,2,42,0,0,0.0,0.0
20,2,5,44,0,0,0.0,0.0
20,3,0,178,0,0,0.0,0.0
20,4,4,181,0,0,0.0,0.0
20,5,3,448,0,0,0.0,0.0
21,0,2,9,0,0,0.0,0.0
21,1,1,43,0,0,0.0,0.0
21,2,0,80,0,0,0.0,0.0
21,3,4,99,0,0,0.0,0.0
21,4,5,181,1,0,0.5,0.0
21,5,3,239,1,0,0.5,0.0
22,0,3,16,0,0,0.0,0.0
22,1,4,20,0,0,0.0,0.0
22,2,5,21,0,0,0.0,0.0
22,3,0,36,0,0,0.0,0.0
22,4,1,107,0,0,0.0,0.0
22,5,2,522,0,0,0.0,0.0
23,0,2,33,0,14,0.0,0.25925925925925924
23,1,0,40,0,12,0.0,0.2222222222222222
23,2,4,77,0,8,0.0,0.14814814814814814
23,3,3,79,0,7,0.0,0.12962962962962962
23,4,5,111,133,13,1.0,0.24074074074074073
23,5,1,543,0,0,0.0,0.0
24,0,2,8,0,0,0.0,0.0
24,1,5,10,0,0,0.0,0.0
24,2,3,41,0,0,0.0,0.0
24,3,4,130,0,0,0.0,0.0
24,4,0,210,0,0,0.0,0.0
24,5,1,464,0,0,0.0,0.0
25,0,5,7,0,0,0.0,0.0
25,1,4,19,0,0,0.0,0.0
25,2,2,75,0,0,0.0,0.0
25,3,0,76,0,0,0.0,0.0
25,4,1,94,0,0,0.0,0.0
25,5,3,119,0,0,0.0,0.0
26,0,0,11,0,4,0.0,0.3076923076923077
